metodo,nodos,num_de_instancia,tiempo_s,memoria_pico_MB,iteraciones,valor_objetivo
Weiszfeld1,100,18,0.0025146007537841797,158.59765625,112,18558805.847205807
Descenso,100,18,0.009109973907470703,158.59765625,64,18558805.847205807
HookeJeeves,100,19,0.013081073760986328,158.59765625,24,19660345.193207897
Weiszfeld1,100,19,0.0030219554901123047,158.59765625,128,19660345.1932079
Descenso,100,19,0.013886451721191406,158.59765625,80,19660345.193207897
HookeJeeves,100,20,0.029985427856445312,158.59765625,36,19338587.081279173
Weiszfeld1,100,20,0.004801273345947266,158.59765625,232,19338587.081272364
Descenso,100,20,0.03324413299560547,158.59765625,102,19338587.081607122
HookeJeeves,100,21,0.012305736541748047,158.59765625,24,20067596.085419234
Weiszfeld1,100,21,0.0028340816497802734,158.59765625,128,20067596.08541924
Descenso,100,21,0.012910604476928711,158.59765625,76,20067596.08541925
HookeJeeves,100,22,0.0068166255950927734,158.59765625,16,16901649.04495933
Weiszfeld1,100,22,0.0026264190673828125,158.59765625,120,16901649.044959333
Descenso,100,22,0.006585121154785156,158.59765625,40,16901649.044959337
HookeJeeves,100,23,0.023030996322631836,158.59765625,30,18871386.203763
Weiszfeld1,100,23,0.0033559799194335938,158.59765625,156,18871386.203763004
Descenso,100,23,0.012827634811401367,158.59765625,80,18871386.203763004
HookeJeeves,100,24,0.009725570678710938,158.59765625,20,19694618.864373174
Weiszfeld1,100,24,0.0028181076049804688,158.59765625,124,19694618.864373177
Descenso,100,24,0.007399559020996094,158.59765625,36,19694618.864373177
HookeJeeves,100,25,0.01500082015991211,158.59765625,28,18876429.20334249
Weiszfeld1,100,25,0.0050313472747802734,158.59765625,156,18876429.203342497
Descenso,100,25,0.02716970443725586,158.59765625,60,18876429.203342497
HookeJeeves,100,26,0.011386394500732422,158.59765625,20,16143285.153625647
Weiszfeld1,100,26,0.002596139907836914,158.59765625,116,16143285.15362565
Descenso,100,26,0.01244497299194336,158.59765625,80,16143285.15362565
HookeJeeves,100,27,0.013575077056884766,158.59765625,24,19630193.724168617
Weiszfeld1,100,27,0.0031981468200683594,158.59765625,128,19630193.724168625
Descenso,100,27,0.014140129089355469,158.59765625,92,19630193.72416862
HookeJeeves,100,28,0.0184938907623291,158.59765625,32,19657062.069042917
Weiszfeld1,100,28,0.004792928695678711,158.59765625,176,19657062.06904292
Descenso,100,28,0.015334606170654297,158.59765625,96,19657062.06904293
HookeJeeves,100,29,0.01616525650024414,158.59765625,28,18409320.818899136
Weiszfeld1,100,29,0.0032410621643066406,158.59765625,140,18409320.818899143
Descenso,100,29,0.012930154800415039,158.59765625,84,18409320.818899136
HookeJeeves,100,30,0.012529373168945312,158.59765625,24,16713741.621605169
Weiszfeld1,100,30,0.002788066864013672,158.59765625,108,16713741.621605173
Descenso,100,30,0.0090179443359375,158.59765625,52,16713741.621605182
HookeJeeves,250,1,0.03745079040527344,158.59765625,39,315473861.921486
Weiszfeld1,250,1,0.0033130645751953125,158.59765625,128,315473861.9214861
Descenso,250,1,0.016401052474975586,161.34765625,44,315473861.9214861
HookeJeeves,250,2,0.010948657989501953,161.34765625,16,303883121.2370143
Weiszfeld1,250,2,0.00357818603515625,161.34765625,140,303883121.2370143
Descenso,250,2,0.024060964584350586,161.34765625,48,303883121.23701435
HookeJeeves,250,3,0.013284921646118164,161.34765625,20,300424577.50529796
Weiszfeld1,250,3,0.003301382064819336,161.34765625,136,300424577.505298
Descenso,250,3,0.015118122100830078,161.34765625,44,300424577.50529796
HookeJeeves,250,4,0.056003570556640625,161.34765625,60,288968875.90211403
Weiszfeld1,250,4,0.0034134387969970703,161.34765625,140,288968875.90211403
Descenso,250,4,0.018112659454345703,161.34765625,48,288968875.90211403
HookeJeeves,250,5,0.028777360916137695,161.34765625,33,285150036.37314546
Weiszfeld1,250,5,0.0029675960540771484,161.34765625,116,285150036.37314546
Descenso,250,5,0.016933917999267578,161.34765625,44,285150036.37314546
HookeJeeves,250,6,0.011045455932617188,161.34765625,16,293092449.3088372
Weiszfeld1,250,6,0.0037505626678466797,161.34765625,152,293092449.3088373
Descenso,250,6,0.024510860443115234,161.34765625,51,293092449.3088372
HookeJeeves,250,7,0.014278411865234375,161.34765625,24,326150041.35686415
Weiszfeld1,250,7,0.003816366195678711,161.34765625,128,326150041.3568642
Descenso,250,7,0.02087569236755371,161.34765625,56,326150041.3568642
HookeJeeves,250,8,0.06988859176635742,161.34765625,72,295772410.8888855
Weiszfeld1,250,8,0.003551006317138672,161.34765625,144,295772410.8888855
Descenso,250,8,0.023905515670776367,161.34765625,48,295772410.8888856
HookeJeeves,250,9,0.01645946502685547,161.34765625,28,321861942.69774586
Weiszfeld1,250,9,0.0034584999084472656,161.34765625,136,321861942.6977459
Descenso,250,9,0.022671937942504883,161.34765625,45,321861942.69774604
HookeJeeves,250,10,0.027011871337890625,161.34765625,27,288870791.76240337
Weiszfeld1,250,10,0.003092050552368164,161.34765625,124,288870791.76240337
Descenso,250,10,0.023679733276367188,161.34765625,42,288870791.76240337
HookeJeeves,250,11,0.014484167098999023,161.34765625,24,286666952.81033534
Weiszfeld1,250,11,0.003958940505981445,161.34765625,144,286666952.8103354
Descenso,250,11,0.024833202362060547,161.34765625,48,286666952.8103354
HookeJeeves,250,12,0.016486167907714844,161.34765625,28,301602540.4645681
Weiszfeld1,250,12,0.003415822982788086,161.34765625,132,301602540.46456814
Descenso,250,12,0.017514705657958984,161.34765625,44,301602540.46456814
HookeJeeves,250,13,0.019522905349731445,161.34765625,28,293436639.0349099
Weiszfeld1,250,13,0.0039060115814208984,161.34765625,132,293436639.03490996
Descenso,250,13,0.020593643188476562,161.34765625,36,293436639.03490996
HookeJeeves,250,14,0.022729158401489258,161.34765625,24,335845942.05925465
Weiszfeld1,250,14,0.003267526626586914,161.34765625,132,335845942.0592547
Descenso,250,14,0.02139425277709961,161.34765625,42,335845942.0592548
HookeJeeves,250,15,0.01040029525756836,161.34765625,20,301747362.69700086
Weiszfeld1,250,15,0.0032303333282470703,161.34765625,128,301747362.69700086
Descenso,250,15,0.01773548126220703,161.34765625,40,301747362.69700086
HookeJeeves,250,16,0.022185325622558594,161.34765625,27,264639127.062655
Weiszfeld1,250,16,0.003885984420776367,161.34765625,140,264639127.06265503
Descenso,250,16,0.02193593978881836,161.34765625,45,264639127.06265503
HookeJeeves,250,17,0.019132614135742188,161.34765625,28,297508274.1368792
Weiszfeld1,250,17,0.003757476806640625,161.34765625,136,297508274.1368792
Descenso,250,17,0.03683829307556152,161.34765625,69,297508274.1368792
HookeJeeves,250,18,0.02080368995666504,161.34765625,24,279505511.26248455
Weiszfeld1,250,18,0.0034317970275878906,161.34765625,128,279505511.26248455
Descenso,250,18,0.0229794979095459,161.34765625,45,279505511.2624846
HookeJeeves,250,19,0.01772618293762207,161.34765625,24,300926134.54853565
Weiszfeld1,250,19,0.003503561019897461,161.34765625,132,300926134.54853565
Descenso,250,19,0.022314071655273438,161.34765625,45,300926134.5485357
HookeJeeves,250,20,0.01653289794921875,161.34765625,24,282023077.4989505
Weiszfeld1,250,20,0.0037653446197509766,161.34765625,136,282023077.4989506
Descenso,250,20,0.01738762855529785,161.34765625,48,282023077.49895054
HookeJeeves,250,21,0.026681900024414062,161.34765625,30,271815576.4445424
Weiszfeld1,250,21,0.004235982894897461,161.34765625,120,271815576.4445424
Descenso,250,21,0.018763065338134766,161.34765625,48,271815576.4445424
HookeJeeves,250,22,0.04157710075378418,161.34765625,45,303856051.88817966
Weiszfeld1,250,22,0.01926898956298828,161.34765625,561,303856051.8881797
Descenso,250,22,0.05026054382324219,161.34765625,93,303856051.88818
HookeJeeves,250,23,0.02097177505493164,161.34765625,27,313039853.2022549
Weiszfeld1,250,23,0.0051975250244140625,161.34765625,204,313039853.20225495
Descenso,250,23,0.026768207550048828,161.34765625,54,313039853.202255
HookeJeeves,250,24,0.03621411323547363,161.34765625,39,292358196.4939629
Weiszfeld1,250,24,0.003556489944458008,161.34765625,124,292358196.4939629
Descenso,250,24,0.02392411231994629,161.34765625,48,292358196.49396294
HookeJeeves,250,25,0.020093202590942383,161.34765625,28,306765372.2695327
Weiszfeld1,250,25,0.003445148468017578,161.34765625,136,306765372.2695328
Descenso,250,25,0.01549839973449707,161.34765625,40,306765372.2695328
HookeJeeves,250,26,0.01757335662841797,161.34765625,28,287999682.5812322
Weiszfeld1,250,26,0.0037050247192382812,161.34765625,136,287999682.58123225
Descenso,250,26,0.013790369033813477,161.34765625,36,287999682.5812327
HookeJeeves,250,27,0.01889944076538086,161.34765625,32,293214091.12082857
Weiszfeld1,250,27,0.003581523895263672,161.34765625,148,293214091.1208286
Descenso,250,27,0.022126197814941406,161.34765625,39,293214091.1208288
HookeJeeves,250,28,0.030147552490234375,161.34765625,36,290079180.0973365
Weiszfeld1,250,28,0.003948688507080078,161.34765625,152,290079180.09733653
Descenso,250,28,0.022783517837524414,161.34765625,42,290079180.09733653
HookeJeeves,250,29,0.022508859634399414,161.34765625,27,279601811.41152704
Weiszfeld1,250,29,0.002957582473754883,161.34765625,120,279601811.41152704
Descenso,250,29,0.01881241798400879,161.34765625,48,279601811.41152704
HookeJeeves,250,30,0.02082967758178711,161.34765625,24,311502790.6982469
Weiszfeld1,250,30,0.004261493682861328,161.34765625,136,311502790.6982469
Descenso,250,30,0.020313501358032227,161.34765625,52,311502790.69824696
HookeJeeves,500,1,0.013586997985839844,161.34765625,16,2270320985.939158
Weiszfeld1,500,1,0.004397392272949219,161.34765625,148,2270320985.9391584
Descenso,500,1,0.14082622528076172,167.05859375,45,2270320985.9391584
HookeJeeves,500,2,0.01915597915649414,161.5078125,28,2280537735.481458
Weiszfeld1,500,2,0.0037620067596435547,161.5078125,116,2280537735.4814577
Descenso,500,2,0.12204813957214355,167.19140625,39,2280537735.4814587
HookeJeeves,500,3,0.015933752059936523,161.50390625,24,2520055453.091542
Weiszfeld1,500,3,0.004618406295776367,161.50390625,136,2520055453.0915422
Descenso,500,3,0.1299426555633545,167.1484375,42,2520055453.0915422
HookeJeeves,500,4,0.039571285247802734,161.48828125,33,2342035389.2306795
Weiszfeld1,500,4,0.003837108612060547,161.48828125,128,2342035389.2306795
Descenso,500,4,0.11897921562194824,167.18359375,39,2342035389.2306795
HookeJeeves,500,5,0.029482603073120117,161.55078125,24,2408194463.367284
Weiszfeld1,500,5,0.004144430160522461,161.55078125,136,2408194463.367285
Descenso,500,5,0.1070408821105957,167.125,33,2408194463.367285
